img_paths,labels,pred_labels
Luc Van Tien/nlvnpf-0059-044_7.jpg,久淪軍伍諸大臣憐之故有是命以知制誥,久滛軍每諸大臣除之故有是命以知制誥詩
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVI_10b_0.jpg,會天下軍人盟于龍墀詔曰朕膺一祖二宗之業,會天下軍人盟于龍墀詔曰朕膺一百二宗之業
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_X_34b_4.jpg,每輕之蒼檜不為動至於攻戰則屢有功亦不以,每輕之眷檜不為斬至於攻戰則屢有功亦不以
Tale of Kieu 1866/page058b_6.jpg,一至是哉帝生於其間禀聖神文武之資當天,一至是哉帝生於其間禀聖神文武之資當天
Tale of Kieu 1871/page028_5.jpg,為參侍朝政知軍國事親属有嫌其職之卑者威,為參侍朝政知軍國事親属有機其職之卑者威
Tale of Kieu 1872/page36a_3.jpg,史臣吳士連曰帝之此言雖一時為效可而𭛁,史臣吳士連曰帝之此言一時為效可而𭛁
Tale of Kieu 1866/page050b_7.jpg,史臣吳士連曰三綱之道萬世常經不可一日,史臣吳士連曰三綱之道萬世常經不可一日
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_I_31b_5.jpg,終為鄕人吳副使所敗而還部領聞之舉兵攻其,終為鄕人吳副使所敗而還部領開之舉兵攻其
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XIX_7a_8.jpg,語帝以武德東征翊聖三王作亂速調兵討之及,語帝以武德東征翊聖三王作亂逐調兵討之及
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XV_73b_4.jpg,政而天下之事皆自以出内制強臣外攘夷,政而天下之事皆自已出内制誨臣外攘夷夷
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_V_21b_17.jpg,其本以示󰱇任之公八月令上洪下洪荆門,其本以示󰱇任之公八月令上洪下洪荆門
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_IV_11b_8.jpg,分又有保武者上皇所親愛然不置之要地非其,分又有保武者上皇所親愛然不置之要地非其
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_I_9a_8.jpg,年受人銀子今以委兵曹之重妄之總知奏請俸,年受人銀子今委以兵曹之重妄為總知奏請保
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_V_22a_3.jpg,史臣吳士連曰前聖之道非孔子無以明後,史臣吳士連曰前聖之道非孔子無以明格
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XI_95b_5.jpg,之二十四日寅時有彗星見于西南方形如,之二十四日寅時有彗星見于西南方形如
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIV_53b_6.jpg,上無󰲝事以成雍熙之治至如漢唐之臣莫不,上無廢事以成雍熙之治至如海膺之臣莫不
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_I_7b_2.jpg,也殆六十七年之間所謂成如王莽終不免,也殆六十七年之間所謂成如王莽終不免
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VI_1a_12.jpg,琴冬為宣慰大使乃置鎮守各縣官吏以治之,桑冬為宣慰大使乃置鎮守各縣官吏以治之
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVII_50b_3.jpg,殿即皇帝位改元以明年正月爲永治元年大,殿即皇帝位改元以明年正月爲永治元年大
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VII_16b_10.jpg,丁帝諭曰爾以󰰻乱良臣特命爾選丁之事將不,丁帝諭曰爾以搬乱良臣特命爾選丁之事持不
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_III_16b_7.jpg,重光以圖恢復五年之間與賊持戰雖有不,重光以圖恢復五年之間𭁈賊持戦雖有不
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_X_49b_3.jpg,謂朕終有負於臣下勳舊之間也二十九日,謂朕終有負於臣下勳舊之間也二十九日
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VIII_13a_6.jpg,也父母之心誰不欲其子之有寳家聖人體此,也父母之心諱不欲其子之有室家聖人體比
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XI_7b_0.jpg,及傳國寶劎置於其側謂之曰如復蘇以此物賜,及傳國寳劎置於其輔謂之曰如復蘇以此物賜
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_X_38a_2.jpg,事君上不可以私害公事𭛁之時悔之何及故,事君上不可以私害公事發之時海之何及故
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_II_7a_6.jpg,史大夫仍以昭聖公主㱕之曰朕非卿𡸈復有今,史大夫仍以昭聖公主歸之曰朕非卿𡸈復有今
Tale of Kieu 1872/page63b_8.jpg,謹守毋得徃來出入仍命禁軍介之以兵立天安,諱守母得姓來出入仍命禁軍介之以兵立天安
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VIII_37b_11.jpg,親迎子婦嫌之大者也此而不謹其他可知矣,親迎子婦鐮之大者也此而不謹其他可知矣矣
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_X_16b_6.jpg,十年稔禍乱之原由者非一二日兹臣𭁈将佐,十年稔禍乱之原由者非一二日兹臣與将佐
Tale of Kieu 1866/page045a_22.jpg,帝以正治十年十一月日誕生育于瑞原縣,帝以正治十年十一月日誕生育于瑞原縣
Tale of Kieu 1872/page43b_19.jpg,王思齊為庶人二十七日以災異下詔曰此,三思齊為庶人二十七日以災異下詔曰比
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XIX_27b_0.jpg,月李公平軍還献俘人百六十九人以内令書,月李公平軍還献俘一百六十九人以内令書
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVII_42b_0.jpg,九月九日殺宦者丁福丁勝等以阮廌臨刑之,九月九日殺宦者丁福丁勝等以阮廌臨刑之
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVI_29a_9.jpg,定又斷之不早失其機會以至事敗身亡及,定又諱之不旱失其機會以至事敗身亡及
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XI_22a_1.jpg,之治不過是也書美帝堯於變之盛必以克親,之治不過是也書羙帝堯於變之盛必以克󱀄
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XIX_10b_5.jpg,乎竭矣故陳氏得以取之既取人國又弑其君,乎竭矣故陳氏得以取之既取人國又弑其君
Tale of Kieu 1866/page030b_14.jpg,人心中異之帝愈自韜晦不露英氣惟以,人心中異之帝愈自韜晦不露英氣惟以
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XI_49a_4.jpg,帝有褒賞之命至是無聞興孝王回奏上皇乃加,帝有褒賞之命至是無開興孝三四奏上皇乃加
Tale of Kieu 1866/page051b_23.jpg,將而還十九年春三月丙申朔帝以所御,将而還十九年春三月丙申朔帝以所細
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_II_28a_2.jpg,行太后謂嘉曰南越内属國之利也而相君若不,行太后謂嘉曰南越内属國之利也而相君若不
Tale of Kieu 1866/page058b_9.jpg,八月二十日興道大王國峻卒於萬劫第贈太師,八月二十日興道大王國峻卒於萬刧贈太師
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XIX_21b_9.jpg,有天下者順也及李之代黎陳之代李以有,有天下者順也及李之代黎陳之代李以有
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XI_71a_7.jpg,乃其昌詩曰共武之復以定王國周禮曰賊賢,乃其昌詩曰共武之服以定王國周禮曰賊賞
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVI_2a_13.jpg,秋七月二十六日以生日為欽天聖節八月,秋七月二十六日以生日為欽天聖節八月
Tale of Kieu 1872/page07a_5.jpg,以待之以為天下勸乎眾皆悅服五月治降賊,以行之以為天下勸乎眾皆悅服五月治降勅
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_I_5a_10.jpg,及諸宫門令人守之百官進朝不得入守度徧吿,及諸官門令人守之百官進朝不得入守度編鄕
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_I_18b_7.jpg,監察御史以其父有功於國故擢用之,監察御史以其父有功於國故擢用之
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XI_83b_7.jpg,十一月大赦改元以是年爲弘定元年立浮,十一月大赦改元以是年為弘定元年
Tale of Kieu 1871/page127_20.jpg,子人人得而誅之而天討之在天下不容一,子人人得而誅之而天討之在天下不容一
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XII_15a_11.jpg,史以記事也而事之得失為将來之鑒戒古者,史以記事也而事之得失為將來之難戒古者
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_II_7b_10.jpg,史臣吳士連曰范令公之用心忠矣哉三哥以,史臣吳士連曰范令公之用心忠矣哉三晋以
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XV_46b_3.jpg,軍多方猶有驕色上皇曰合行小罪以懲之季,軍多方猶有驕色上皇曰合行小罪以懲之季
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VIII_4b_6.jpg,溥國之賊臣爾故罷之十二日唱進士范播等,博國之賦臣爾故罷之十二日唱進士范播等
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_IV_19b_4.jpg,掠人口以歸冬十一月詔諒江山僚等軍鎮守,掠人口以歸冬十一月詔諒江山獠等軍鎮守
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VI_5a_1.jpg,史者以蜀趙亡國之由皆出於女壻故因一事,史者以蜀趙亡國之由皆出於女群故因一事
Tale of Kieu 1872/page73a_18.jpg,列等對曰道銅果於誠服來降則待之不死以勸,列等對曰道銅果於誠服來降則待之不死以勸
Tale of Kieu 1866/page048b_9.jpg,論曰人生有三事之如一君師𭁈父𡸈有異,諭曰人生有三事之如一君師與父𡸈有異
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VII_15a_9.jpg,京斬之十二月四日清華處鎮守将少保演,京斬之十二月四日清華處鎮守將少保内
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_III_10a_4.jpg,國都之制已僃而州縣尙缺其何以廣化民之,國都之制己僃而州縣尚鈌其何以廣化民之
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_V_31b_0.jpg,成祖謚曰文皇帝秋八月十五日明太子髙,歳祖論曰荄皇帝秋八月十五日明太子髙
Tale of Kieu 1871/page105_1.jpg,軍敗於白騰江率眾來降興道大王許之以計取,軍敗於白藤江率眾來降興道大王許之以買虫
Tale of Kieu 1871/page121_0.jpg,回國光賁於嘉靖二十七年奉使爲明人所留,两國光資於著靖二十七年茶侵為明人所留
Tale of Kieu 1872/page23a_11.jpg,人犯順擾邊而睿宗有禦患救民之功何爲不吊,人犯順擾邉而睿宗有禦患救民之功何為不吊
Tale of Kieu 1871/page112_0.jpg,會試中一二三塲有行檢學問自三十五歲以上,會試中一二三塲有行檢學問自三十五歲以上
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIII_80b_3.jpg,桓不克而子死得其所矣今觀大行數匐之辭,征不克而死死得其所矣今觀大行数局之離
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_III_17a_5.jpg,献軍門悉斬之令下招安人民悅服三月平,献軍門卷斬之令下招安人民悅服三月平
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XV_1b_8.jpg,乃奏法乘心疾動不能任事十二月乙卯齊帝以,乃奏法乘心疾動不能任事十一月乙卯齊帝以
Tale of Kieu 1872/page69a_15.jpg,太祖髙皇帝取天下於狂明㓂亂之餘其得天下,太祖髙皇帝取天下於狂明㓂亂之餘其得天下
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_III_15b_16.jpg,在官司量其所損以錢還之以范師孟為入内,在官司量其所損以錢還之以范師孟為入内
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIV_40a_15.jpg,善終由人事之未盡非天命之不祐也惟其不,善終由人事之未盡非天命之不祐也惟其不
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VII_3b_4.jpg,氣之運聖人之生有其數焉天氣自此而南終,氣之運聖人之生有其數焉天氣自北而南終
Luc Van Tien/nlvnpf-0059-020_13.jpg,所謂徒知食禄死難之為義而不知其人之,所謂徒知食禄死難之為義而不知其人之
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVI_8b_2.jpg,聖臣之助臣謹具奏聞十六日帝觀率大軍繼,聖神之助臣謹具奏聞十六日帝親率大寳繼
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_II_11b_4.jpg,過者處以二等𭁈軍人阮公䃈為掌曆户部主,過者處以二等𭁈軍人阮公旨為掌曆户部主
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XI_95b_11.jpg,深奇爱之光順三年三月冊立爲皇太子洪,深奇愛之光順三年三月󰀋立爲皇太子洪
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIII_77b_5.jpg,而不名殁後諒江州縣灾疹人多禱之至今歲時,而不名󰆑後諒江州縣灾秀人多禱之至今歲時
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVII_44a_0.jpg,而伐其樹樹倒人墮死親觀以爲樂賞之寕江其,而伐其樹樹樹人隋死親觀以為樂掌之穿江其
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_IV_5b_1.jpg,爲下必厲進修之志不公好惡曷以勸懲我國,為下必厲進修之志不公好惡曷以勸懲我國
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_IV_15b_4.jpg,南瘴癘去無還理唐帝怒曰我使人不行何以為,南瘴癘去無環理唐帝怒曰我使人不行何以為
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XI_24a_7.jpg,行師討鋤諸逆天下頼以安平再三十年不意,行師討鋤諸蓮大下賴以安平垂三十年不意
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVI_2a_1.jpg,乃漢人少季至復與私通焉國人知之多不附太,乃漢人少季至復與私通焉國人知之多不附太
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XV_43a_5.jpg,中塲吏及儒生年三十五歳以上有𭓇問行檢,中塲吏及儒生年三十五歲以上有𭓇問行檢
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XI_61a_5.jpg,道理二字謂道者當然之事明白易知理者所以,道理二字謂道者當然之事明白南知理者所以
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VII_25b_4.jpg,年六十以上欲還民者並許本人頭告吏部類奏,年六十以上欲還民者並許本人投告吏部類奏
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_III_36b_0.jpg,是月初四日簡脩公即皇帝位大赦改元以是,是月初四日簡脩公即皇帝位大赦改元以是
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XIX_8b_2.jpg,二十二日帝與明總兵官太子太保成山侯王,二十二日帝𭁈明總兵官太子太保成山侵王
