img_paths,labels,pred_labels
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_IV_24b_5.jpg,春二月拜譚以𫎇爲,春二月拜譚以榮爲
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_III_17a_3.jpg,逰後人訛以爲僧忌日,逰後人訛以為僧念日
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VIII_10a_8.jpg,明洪武二十一年,明洪武二十一年
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIII_33a_7.jpg,八月赦天下六十三條,八月赦天下六十三條
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_V_7a_17.jpg,愛二城以其城前被環王,浽二城以其城前𤜯稼王
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_II_17a_2.jpg,群臣宴五峯之制自此始,群臣宴五峯之制自此始
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_III_12a_10.jpg,不朽所以能爲神也,不抒所以能為神也
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VII_11a_11.jpg,春三月定文武雜流等官,春三月定文武雜流等官
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_IV_2a_6.jpg,氏之不延也信哉,氏之不延也信哉
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIII_71b_11.jpg,春二月初四日御舟𭛁自,春二月初四日御舟𭛁自
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVII_4a_5.jpg,十三人同進士出身,十三人同進士出身
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_V_33a_12.jpg,朝帝辝以疾不行,覲帝辝以疾不行
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVI_28b_3.jpg,八月布政州人立郡公,八月布政州人立郡公
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIII_33b_2.jpg,九月十五日戌時月食,九月十五日城時月鈍
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_III_40b_9.jpg,大雨夏四月皇弟三子,大驅夏四月皇第三子
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_II_3a_23.jpg,之自爲功也,之自爲功也
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_III_40a_2.jpg,故史從而書之歟,盎賴從而書之歟
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVI_16b_10.jpg,一切委之歲其收納,十切委之歲期恢納
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_V_59a_8.jpg,五月二十五日,五月二十五日
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIV_45a_11.jpg,其先祖莫挺之陳,其先祖莫挺之陳
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VII_25a_14.jpg,冬十月天健山崩十二月,冬十月天健山崩十二月
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XII_68a_1.jpg,陵王之類是也,陵王之類是也
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XV_8a_1.jpg,之為户部左侍郎,之為户部右侍郎
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVIII_10b_3.jpg,春二月朝堂阮澧等啓陳,春二月朝堂阮澧等啓陳
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_V_50a_2.jpg,都三年假道入我國故也,都三年微道八我國故也
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_III_6b_14.jpg,聊城人賈琮以爲刺史,輔城人買歸以為刺史
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_I_23a_6.jpg,多子冬十月丙戌朔日食,多死冬十月丙戌朔日食
Tale of Kieu 1871/page122_17.jpg,𨔍之國色天才沛緣,𨔍之國色天才沛緣
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XI_85a_3.jpg,權總萬機二十日皇太,推總勤機二十日皇太
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XV_1b_6.jpg,春正月論應義師功以,春正月諭應義師功以
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIII_67a_5.jpg,樓之前銀满回旋其左右,樓之前銀蒲回旋其左右
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVI_11b_6.jpg,将兵入寇清華以壽郡公,將兵入寇清華以壽都公
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVI_3a_9.jpg,莫大正十一年,莫大正十一年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VI_45b_6.jpg,效可為人以智巧存心,故可為乂以智巧存心
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VI_30b_7.jpg,春正月尊寧祖夫人為寧,春正月尊寧寧祖夫人南寧
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVI_8a_4.jpg,明嘉靖二十五年,明嘉靖三十五年
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVIII_67b_5.jpg,文十二月奉賫回京,文十二月奉賫回京
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XI_1a_8.jpg,守成之良主也然耽心酒,守城之求也主也然此贈
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VII_21b_5.jpg,宰為聰明之累焉,宰爲聰明之累焉
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_IV_20b_6.jpg,在位三十二年,在位三十二年
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIII_13a_2.jpg,退三級而給之,退三級而給之
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIII_67b_4.jpg,春三月申明各例一百三,春三月中明各例一百三
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_II_12a_6.jpg,家之乱無足稱者成,圖家之亂無是務者
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_III_1b_10.jpg,王起兵攻之,王起兵攻之
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_I_27b_10.jpg,春二月封長子乍爲,春二月封長子乍爲
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVIII_53a_9.jpg,十二年清順治十四年永,觧十二年清順治十四年
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVIII_27a_6.jpg,夏五月帝納王女鄭氏玉,夏五月帝納王女鄭氏玉
DVSKTT-1 Quyen thu/DVSKTT_thu_VI_10a_7.jpg,卷之十七,卷之十七
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_I_19a_7.jpg,春正月改元大赦封太,春正月改元大赦封太
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_IV_26b_0.jpg,討郭卜之亂按罪有差,討郭卜之亂按罪有道
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XIX_30b_12.jpg,春正月仍給開國功臣黎,春正月仍給開丙申
Luc Van Tien/nlvnpf-0059-004_9.jpg,之朋哙吏理芇朱明,之朋哙吏理芇朱明
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_III_4b_6.jpg,以是年爲神,以是年為神
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_IX_6b_8.jpg,應變有治民才人服其能,應變有治氏才人服其能其能
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_V_8a_8.jpg,年月日書薨亦然此止,年月日書兼亦然此也
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XV_28b_1.jpg,北使舘士㝠衣火塟之,迁供舘以冥衣火塟之
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_I_22a_10.jpg,鎮將皇令德匿之,鎮將黄令德匿之
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIII_56b_3.jpg,二十二日明憲宗崩,二十二日明憲宗崩
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_IV_6b_2.jpg,書火阮權爲中書舍人如,諒州冬十月󰆑成廣德宫
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIII_68b_8.jpg,以黎景徽為户部尚書,以黎景徽為户部尚書
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_IX_12a_13.jpg,春二月殺國公鄧悉,春二月殺國公鄧悉
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XII_2a_8.jpg,興二年明天順四年,興二年明天順四年
DVSKTT-1 Quyen thu/DVSKTT_thu_V_4b_2.jpg,知者幸正之,知者幸正之
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XV_74b_3.jpg,不數年間軍聲大振,不數年間軍聲大振
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VII_10a_0.jpg,紀帝從之,紀帝從之
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_I_23a_0.jpg,城以兵窺我邊境大水,城以兵第我邊境大水
Luc Van Tien/nlvnpf-0059-096_9.jpg,芇根原畧事情仍之,芇根原畧事情仍之
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_II_23a_5.jpg,春二月天慶殿前芝草生,春二月天󰆑殿前芝草生
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_X_17a_3.jpg,五月帝遣司空黎禮,五月帝遣司空黎禮
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIII_62b_1.jpg,庚戌二十一年,庚戌二十一年
Tale of Kieu 1871/page030_9.jpg,劫尼催世時催群之,刼尼催世時催群之
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVII_63b_0.jpg,戊戌二十一年,戊戌二十一年
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVI_9a_3.jpg,春正月二十,春正月二十
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VI_21b_8.jpg,以奪於後何有於信乎,以奪於後何有於信乎
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_I_4b_9.jpg,太宗匡義太平興國元年,太宗匡妻太平興國元年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_I_8a_7.jpg,見書失之也,見書失之也
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XIX_14a_6.jpg,明永曆二十年,明永曆二十年
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVII_37a_2.jpg,昇龍城之南福林坊居之,昇龍城之南福林坊居之
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_X_76a_5.jpg,萬世之業也宜哉,萬世之業也宜哉
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVI_6a_9.jpg,明嘉靖二十二年,明嘉靖十二年
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_I_5b_8.jpg,該二千六百二十二年,該二千六百二十二年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VI_26b_13.jpg,巧思之多皆此𩔗也,式魏之多帝此號也
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVII_54a_3.jpg,瑞郡公及裨将二十,瑞郡公及禪将二十
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_V_50b_11.jpg,春正月放元軍還國,春正月放元軍還國山
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_IV_22a_0.jpg,壬戌三十二年,壬戌三十二年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_II_21a_3.jpg,月宴群臣於天安殿,月宴群臣於天安殿
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_III_11b_20.jpg,春正月封僧枯頭爲國師,春正月封僧枯頭爲閣師
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVI_1b_3.jpg,結資其兵糧以圖進取,結緣其兵船以國𨖲
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_IX_1a_5.jpg,二年餘帝無撥亂才又棄,二年餘十審撾阮文
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVIII_59b_6.jpg,不惜之,不惜之
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_IV_8a_9.jpg,兵欲殺之寶覺舉兵擊放,兵欲殺之禦兵擊兵擊秋
DVSKTT-1 Quyen thu/DVSKTT_thu_VI_1a_5.jpg,千六百二十二年,十六百二十二年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_I_23a_4.jpg,春三月地震三日夏五月,春三月地震三日夏五月
Tale of Kieu 1872/page09b_7.jpg,恩𢚸君子詫之𧵑淶,恩𢚸君子詫之𧵑洡
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_X_19b_3.jpg,得國之徵,得國之徵
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVI_26b_3.jpg,正月上相上表奏帝令,正月上相上表奏帝令
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_IV_1a_9.jpg,發宗兵拒之,發宗兵拒之
Tale of Kieu 1872/page27a_19.jpg,爫之時拱𠬠𫯳刼𨍦,爫之麻拱受動刼𨍦
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XII_68a_9.jpg,之類是也,之類是也
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIII_7b_4.jpg,無官議之,無官議之
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIII_3b_5.jpg,十二月征山蠻,十二月征山蠻
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVIII_41a_14.jpg,春彗星見東方二月時,春華星見東方二月時
Tale of Kieu 1871/page132_1.jpg,固爫之女丐命補𠫾,買爫之女丐命補𠫾
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVIII_51a_3.jpg,明永曆十一年,明永曆十一年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_III_12a_6.jpg,也冬十月作覧山寺㙮,也冬十月本景水覧山寺㙮
Tale of Kieu 1871/page111_1.jpg,徐朱歇刼群之󰑼身,徐朱舘身群之󰑼身
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_V_21b_13.jpg,亡之此國,亡之比國
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_II_6b_14.jpg,乙酉五十二年,乙酉五十二年
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVII_14b_7.jpg,二月節制鄭松議回兵,二月節制鄭松議回兵
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VI_45a_7.jpg,自𠧨之辭也,自紏之辝也
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XII_68a_21.jpg,子受封以美字為號,子受封以羙字為號
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_III_3b_12.jpg,立祠奉事之,立祠奉事之
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_V_6a_8.jpg,四月交州唐林人,四月交州唐林人
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_V_2b_10.jpg,陳守度以諒州為湯沐邑,陳守度以諒州爲湯沐邑
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XI_94b_2.jpg,六月免黎受於天牢,六月免黎受於天牢
Tale of Kieu 1871/page040_19.jpg,癡䜹𫽄別󰑼名分之,綠䜹𫽄別󰑼名分之
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVII_18b_2.jpg,戊子十一年,戊子十一年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_V_38b_8.jpg,至元十六年,至元十六年
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_IV_16a_3.jpg,夏六月梁以楊㬓,夏六月梁以楊驛
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVII_52a_6.jpg,等併殺之,等併殺之
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIII_70b_11.jpg,乙卯二十六年,乙卯二十六年
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIII_76b_5.jpg,丁巳二十八年,丁巳二十八年
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVI_9a_14.jpg,八年壽二十二歲,八年月二十二歳
DVSKTT-1 Quyen thu/DVSKTT_thu_VI_6b_2.jpg,在位十二年,在位十二年
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVIII_53a_10.jpg,春正月以,春正月以
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_II_7b_4.jpg,庚子六十七年,庚子六十七年
Tale of Kieu 1872/page43a_7.jpg,𢠩恾如聀占包別之,姉恾如聀占包別之
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_V_1b_7.jpg,春正月󰀋昭皇為皇后改,春正月󰀋昭皇為皇后改
Tale of Kieu 1872/page63b_11.jpg,飭尼㐌易爫之特饒,飭尼㐌易爫之特饒
Luc Van Tien/nlvnpf-0059-099_5.jpg,油朱奴𤯩爫之成身,油朱奴𤯩爫之成身
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVI_1b_7.jpg,莫大正五年明,養阮正五年
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_V_20a_7.jpg,所不愛及其所愛者歟,所不浽及其所愛者歟
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_II_6b_2.jpg,王侯公主所𬋩諸税有差,上侯公主所𬋩諸税有差
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VII_40a_5.jpg,春正月朔改元尊上皇,春正月朔故天尊上皇
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VII_37a_8.jpg,皆聚斂之臣啓,皆黎欽之臣啓
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XV_73b_9.jpg,云弘裕之子,云弘裕始之子
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_II_21b_10.jpg,夏四月詔群臣言事,夏四月詔群臣言事
Tale of Kieu 1872/page19b_17.jpg,浽貞群默買情之低,浽貞群默買情之低
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_V_6a_11.jpg,馮興起兵圍府政平以,為興起兵圍府正刁少
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_I_8b_24.jpg,十月秦始皇崩于沙丘,冬十月秦始皇崩于沙
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIII_29b_3.jpg,聘北之期也,聘丑之其也
DVSKTT-1 Quyen thu/DVSKTT_thu_VI_3a_6.jpg,凣二十九年,凣二十九年
Tale of Kieu 1871/page113_5.jpg,緣些麻拱福𡗶之空,緣些麻拱福𡗶之空
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_V_39b_15.jpg,官之稱,官之孫
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VII_22a_17.jpg,春正月朔改元大赦追,春正月朔政元大赦追
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_V_53b_10.jpg,其有將才不忍棄置爾,其有将才不忍棄置爾
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_II_9b_10.jpg,甲子十五年,甲子十五年
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVI_2a_3.jpg,明嘉靖十四年,明嘉靖十四年
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVIII_10a_10.jpg,中阮有作爲海陽參政,中阮有作爲海陽參政
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_II_10b_10.jpg,春二月帝弗豫,春二月帝弗豫
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VI_32a_16.jpg,夏四月七日兢舟五月,夏四月七日競舟五月
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_II_6b_18.jpg,丙戌五十三年,丙戌五十三年
Tale of Kieu 1871/page090_17.jpg,才情之𡗋朱𡗶坦悭,才情之𡗋朱𡗶坦悭
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_IV_9b_7.jpg,辛未十二年,十月二年
Luc Van Tien/nlvnpf-0059-029_16.jpg,功名富貴爫之,功名富貴仍之
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_I_12a_12.jpg,錄於殘編斷簡之,綠於終皆陽貴之
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_V_3a_7.jpg,迎之是歲隋亡,迎之是歲隋亡
Tale of Kieu 1871/page047_7.jpg,固些低拱𫽄干㨿之,固些低拱𫽄干𦀊之
Tale of Kieu 1866/page037b_13.jpg,拱料玉󰞺花殘麻之,拱料玉󰞺花殘麻之
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XII_68a_18.jpg,昌子之,昌子之
Luc Van Tien/nlvnpf-0059-017_14.jpg,庒咍名姓󰑼之,庒咍名姓󰑼之
DVSKTT-1 Quyen thu/DVSKTT_thu_VI_4b_0.jpg,卷之三,卷之三
Tale of Kieu 1866/page015b_21.jpg,浽𥢆群默貝情之低,浽𥢆群默貝情之低
DVSKTT-1 Quyen thu/DVSKTT_thu_II_2b_4.jpg,相沿之故習㢤欽惟,相沿之故習哉欽命
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_II_8b_11.jpg,夏四月真臘國來貢秋九,夏四月真鄭國來貢秋九
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_IV_12b_1.jpg,事許之,事許之
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VIII_22a_5.jpg,始設法廵捕少抑之矣,始設法怒捕少柳之矣
Luc Van Tien/nlvnpf-0059-081_4.jpg,唐𠸗武后寔之,唐𠸗武后寔之
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_V_7b_8.jpg,酒酣𭛁機並生埋之,酒今至是並生埋之
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_IV_12b_5.jpg,春三月朔日食秋,春三月朔日食秋
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_V_8a_2.jpg,癸巳天應政平二年,癸巳天應政平二年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_IV_15b_13.jpg,甲午十二年,甲午十二年
Tale of Kieu 1872/page27a_12.jpg,爫之罪报寃家,爫之罪报寃家
Tale of Kieu 1866/page047a_19.jpg,迡庒󰑼󰜋𢆥𡢐倍之,迡庒󰑼󰜋𫷜𡢐倍之
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_I_8a_0.jpg,庚辰三十七年,庚辰三十七年
Tale of Kieu 1872/page06b_1.jpg,𤾓𠄼別固緣之咍空,𤾓𠄼別固緣之咍空
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VI_47b_11.jpg,年元大曆二年,年元天順二年
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVII_18b_4.jpg,二明萬曆十六,明萬曆十六年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_X_5b_8.jpg,乙巳之歲宗,乙巳之歳宗
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_IV_19a_8.jpg,春正月梁授陳覇先威明,春正月梁授陳覇先威明
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVIII_31a_7.jpg,潶阮之,𪚔阮黄
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_V_33b_8.jpg,元至元十年,元至元十年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VIII_1a_12.jpg,春正月選衛士陳宗玩𬋩,春正月選將士陳宗玩偕
